reviewer_id,store_name,category,store_address,latitude ,longitude,rating_count,review_time,review,rating,rating_num,true_sentiment,predicted_sentiment,emotion,cleaned_review,normalized_review
1403,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",3 years ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
10024,McDonald's,Fast food restaurant,"1916 M St NW, Washington, DC 20036, United States",38.9054561,-77.0442355,"1,269",4 years ago,Neutral,3 stars,3,Neutral,Negative,disgust,neutral,neutral
14952,McDonald's,Fast food restaurant,"111 Madison St, Oak Park, IL 60302, United States",41.8796564,-87.7779131,"1,454",5 years ago,"Very friendly service, place is decently kept.",4 stars,4,Positive,Positive,joy,very friendly service place is decently kept,veri friendli servic place is decent kept
2493,McDonald's,Fast food restaurant,"72-69 Kissena Blvd, Queens, NY 11367, United States",40.7274006,-73.8124604,"2,193",4 years ago,I mean today they have everything today so ï¿½ï¿½ï¿½ï¿½ï¿½,5 stars,5,Positive,Negative,neutral,i mean today they have everything today so,i mean today they have everyth today so
5035,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",3 years ago,Good ,4 stars,4,Positive,Positive,neutral,good,good
6189,McDonald's,Fast food restaurant,"490 8th Ave, New York, NY 10001, United States",40.7525294,-73.9928762,"3,902",4 years ago,Was there with my 2 year old(kids meal 4 piece chicken nuggets). I was attempting to use the kiosk when one of the employees a young lady came immediately to assist. She explained the process and took me to a register to check out. Within 4 minutes I had placed my order and had my food. Wonderful service though there were a lot of customers. Wonderful experience.,5 stars,5,Positive,Positive,joy,was there with my year oldkids meal piece chicken nuggets i was attempting to use the kiosk when one of the employees a young lady came immediately to assist she explained the process and took me to a register to check out within minutes i had placed my order and had my food wonderful service though there were a lot of customers wonderful experience,wa there with my year oldkid meal piec chicken nugget i wa attempt to use the kiosk when one of the employe a young ladi came immedi to assist she explain the process and took me to a regist to check out within minut i had place my order and had my food wonder servic though there were a lot of custom wonder experi
27036,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,794",2 years ago,Nice specialty coffee drinks! ï¿½ï¿½ï¿½ï¿½,5 stars,5,Positive,Positive,joy,nice specialty coffee drinks,nice specialti coffe drink
9740,McDonald's,Fast food restaurant,"1916 M St NW, Washington, DC 20036, United States",38.9054561,-77.0442355,"1,269",4 years ago,love it,5 stars,5,Positive,Positive,neutral,love it,love it
31017,McDonald's,Fast food restaurant,"7010 Bradlick Shopping Center, Annandale, VA 22003, United States",38.8128231,-77.1850548,595,2 years ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
4541,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",2 years ago,Closed when is supposed to be 24 hours,2 stars,2,Negative,Negative,neutral,closed when is supposed to be hours,close when is suppos to be hour
31513,McDonald's,Fast food restaurant,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",32.7445961,-96.8122859,"2,658",3 years ago,Service was very slow. 10 minutes for 1 egg mcmuffin. No apologies for the long delay.,1 star,1,Negative,Negative,neutral,service was very slow minutes for egg mcmuffin no apologies for the long delay,servic wa veri slow minut for egg mcmuffin no apolog for the long delay
29044,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",2 years ago,Wrong orders....watch what they give you.....double order lanes ..mean double mistakes,2 stars,2,Negative,Negative,anger,wrong orderswatch what they give youdouble order lanes mean double mistakes,wrong orderswatch what they give youdoubl order lane mean doubl mistak
18129,McDonald's,Fast food restaurant,"702-2 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043, United States",39.8520594,-74.9810994,933,4 years ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
5468,McDonald's,Fast food restaurant,"5920 Balboa Ave, San Diego, CA 92111, United States",32.8206541,-117.1780115,550,3 years ago,Good food fast service,5 stars,5,Positive,Positive,neutral,good food fast service,good food fast servic
14045,McDonald's,Fast food restaurant,"25200 I-10 Lot 2, San Antonio, TX 78257, United States",29.6762669,-98.6345801,"1,460",2 months ago,"I love coming to this Mcdonaldï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s (LEON SPRINGS, TX ! Everyone is very welcoming ! The service here is great! No matt",5 stars,5,Positive,Positive,joy,i love coming to this mcdonalds leon springs tx everyone is very welcoming the service here is great no matt,i love come to thi mcdonald leon spring tx everyon is veri welcom the servic here is great no matt
5988,McDonald's,Fast food restaurant,"262 Canal St, New York, NY 10013, United States",40.7185138,-74.0011677,"3,196",9 months ago,"Got an ATM with $1.19 fee, cheapest one i could find so far",5 stars,5,Positive,Negative,neutral,got an atm with fee cheapest one i could find so far,got an atm with fee cheapest one i could find so far
619,McDonald's,Fast food restaurant,"13749 US-183 Hwy, Austin, TX 78750, United States",30.4607176,-97.7928744,"1,240",10 months ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
1685,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",a year ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
4680,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",5 years ago,Top,5 stars,5,Positive,Positive,neutral,top,top
22356,McDonald's,Fast food restaurant,2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,"2,175",4 years ago,Wish i could give this place 0 stars..Computers go down everynight at the same time and slows service. This has been happening for the last 10 years. The after hours employees are zombies.... Very slow and unaware of whats going on in the place. Trash cans are left over flowing and customer service is 0.. Have a good talk with your night manager. Remember McDonald's is a part of the service industry.... i love McDonald's but myself and my friends will never set foot into this one again.,1 star,1,Negative,Negative,sadness,wish i could give this place starscomputers go down everynight at the same time and slows service this has been happening for the last years the after hours employees are zombies very slow and unaware of whats going on in the place trash cans are left over flowing and customer service is have a good talk with your night manager remember mcdonalds is a part of the service industry i love mcdonalds but myself and my friends will never set foot into this one again,wish i could give thi place starscomput go down everynight at the same time and slow servic thi ha been happen for the last year the after hour employe are zombi veri slow and unawar of what go on in the place trash can are left over flow and custom servic is have a good talk with your night manag rememb mcdonald is a part of the servic industri i love mcdonald but myself and my friend will never set foot into thi one again
27747,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",a month ago,"I never seen a place full with kids employees..
no body care what you looking for.. rod customer service by rosalina.. she made you like you were asking for free food",1 star,1,Negative,Negative,surprise,i never seen a place full with kids employees no body care what you looking for rod customer service by rosalina she made you like you were asking for free food,i never seen a place full with kid employe no bodi care what you look for rod custom servic by rosalina she made you like you were ask for free food
9129,McDonald's,Fast food restaurant,"210 5th S, Salt Lake City, UT 84106, United States",40.7590573,-111.8973832,"3,243",2 years ago,"Food was good, we had some difficulties with our order.",4 stars,4,Positive,Negative,neutral,food was good we had some difficulties with our order,food wa good we had some difficulti with our order
18267,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,5 years ago,They were wicked fast and very friendly! I had actually stopped going to any McDonalds because of bad experiences elsewhere with really dry nuggets. Did not regret getting food there today.,5 stars,5,Positive,Positive,neutral,they were wicked fast and very friendly i had actually stopped going to any mcdonalds because of bad experiences elsewhere with really dry nuggets did not regret getting food there today,they were wick fast and veri friendli i had actual stop go to ani mcdonald becaus of bad experi elsewher with realli dri nugget did not regret get food there today
2319,McDonald's,Fast food restaurant,"72-69 Kissena Blvd, Queens, NY 11367, United States",40.7274006,-73.8124604,"2,193",2 years ago,"Lousy , can't make 1 good drive thru order",1 star,1,Negative,Negative,sadness,lousy cant make good drive thru order,lousi cant make good drive thru order
27457,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,999,4 years ago,Always enjoy this McDonald's and I am not a fan of the food. The food is hot and correct majority of the time. The play area is great and staff is friendly. Keep up the good work.,4 stars,4,Positive,Positive,joy,always enjoy this mcdonalds and i am not a fan of the food the food is hot and correct majority of the time the play area is great and staff is friendly keep up the good work,alway enjoy thi mcdonald and i am not a fan of the food the food is hot and correct major of the time the play area is great and staff is friendli keep up the good work
16804,McDonald's,Fast food restaurant,"10901 Riverside Dr, North Hollywood, CA 91602, United States",34.1525074,-118.3679036,"1,795",2 years ago,Very fast service,4 stars,4,Positive,Positive,neutral,very fast service,veri fast servic
13198,McDonald's,Fast food restaurant,"1540 2nd St, Santa Monica, CA 90405, United States",34.0122192,-118.4945396,"3,380",3 years ago,"Kind of  confusing as people were just standing everywhere and one of the workers looked lost herself. Once it cleared out some t hmm ings settled, the food was accurate and warm :)",4 stars,4,Positive,Positive,surprise,kind of confusing as people were just standing everywhere and one of the workers looked lost herself once it cleared out some t hmm ings settled the food was accurate and warm,kind of confus as peopl were just stand everywher and one of the worker look lost herself onc it clear out some t hmm ing settl the food wa accur and warm
22528,McDonald's,Fast food restaurant,2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,,,"2,175",a year ago,Fast service... ok I only got a coffee ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,5 stars,5,Positive,Negative,neutral,fast service ok i only got a coffee,fast servic ok i onli got a coffe
21051,McDonald's,Fast food restaurant,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",32.9580411,-97.3076518,957,2 years ago,Neutral,3 stars,3,Neutral,Negative,disgust,neutral,neutral
5788,McDonald's,Fast food restaurant,"5920 Balboa Ave, San Diego, CA 92111, United States",32.8206541,-117.1780115,550,a year ago,Excellent ,5 stars,5,Positive,Positive,neutral,excellent,excel
31439,McDonald's,Fast food restaurant,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",32.7445961,-96.8122859,"2,658",2 years ago,Donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t go to this McDonaldï¿½ï¿½ï,1 star,1,Negative,Negative,joy,dont go to this mcdonald,dont go to thi mcdonald
8181,McDonald's,Fast food restaurant,"11382 US-441, Orlando, FL 32837, United States",28.3999863,-81.4051029,"1,861",7 years ago,Its a very convenient and very calm and chill place,5 stars,5,Positive,Positive,joy,its a very convenient and very calm and chill place,it a veri conveni and veri calm and chill place
18218,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,5 months ago,Their employees needs to learn customer service.,4 stars,4,Positive,Negative,neutral,their employees needs to learn customer service,their employe need to learn custom servic
11033,McDonald's,Fast food restaurant,"1650 Washington Ave, Miami Beach, FL 33139, United States",25.7902955,-80.1320774,"4,922",2 years ago,The usual homeless pplz  all over dnt feel sanitary to eat in but tak outs the norm...,2 stars,2,Negative,Negative,joy,the usual homeless pplz all over dnt feel sanitary to eat in but tak outs the norm,the usual homeless pplz all over dnt feel sanitari to eat in but tak out the norm
29000,McDonald's,Fast food restaurant,"1415 E State Rd, Fern Park, FL 32730, United States",28.6553497,-81.3426916,"1,618",2 years ago,Put Cheese on my Sauage McMuffin I couldn't put no jelly on there the web tasted nasty,3 stars,3,Neutral,Negative,disgust,put cheese on my sauage mcmuffin i couldnt put no jelly on there the web tasted nasty,put chees on my sauag mcmuffin i couldnt put no jelli on there the web tast nasti
9277,McDonald's,Fast food restaurant,"210 5th S, Salt Lake City, UT 84106, United States",40.7590573,-111.8973832,"3,243",6 years ago,Way under staffed.   20 minutes in the drive up window and terrible service.,1 star,1,Negative,Negative,fear,way under staffed minutes in the drive up window and terrible service,way under staf minut in the drive up window and terribl servic
27946,McDonald's,Fast food restaurant,"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",28.3335081,-81.5137384,"5,567",a month ago,Employee was rude but it fine ï¿½ï,4 stars,4,Positive,Positive,anger,employee was rude but it fine,employe wa rude but it fine
3106,McDonald's,Fast food restaurant,"429 7th Ave, New York, NY 10001, United States",40.7505058,-73.990583,"2,052",a year ago,"For as long as I can remember, Macdonalds has been the best fast-food chain. It always hits the craving spot.",5 stars,5,Positive,Positive,neutral,for as long as i can remember macdonalds has been the best fastfood chain it always hits the craving spot,for as long as i can rememb macdonald ha been the best fastfood chain it alway hit the crave spot
4470,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",6 years ago,Deadass one of the best McDonalds word on my timbs.,5 stars,5,Positive,Positive,disgust,deadass one of the best mcdonalds word on my timbs,deadass one of the best mcdonald word on my timb
15474,McDonald's,Fast food restaurant,"8500 US-290, Austin, TX 78724, United States",30.3291349,-97.6606295,"1,406",4 years ago,"They close the lobby earlier than what is posted, they got our order wrong 3 times. They make faces when we asked for the correct things. They made us pay for an order of fries that should have already been included in our order. It took us so long to get through that drive thru and the entire situation was a complete mess. Smh.",1 star,1,Negative,Negative,disgust,they close the lobby earlier than what is posted they got our order wrong times they make faces when we asked for the correct things they made us pay for an order of fries that should have already been included in our order it took us so long to get through that drive thru and the entire situation was a complete mess smh,they close the lobbi earlier than what is post they got our order wrong time they make face when we ask for the correct thing they made us pay for an order of fri that should have alreadi been includ in our order it took us so long to get through that drive thru and the entir situat wa a complet mess smh
25828,McDonald's,Fast food restaurant,"3501 Biscayne Blvd, Miami, FL 33137, United States",25.8099996,-80.1890981,"2,808",3 months ago,"I came today at this store at 9pm and the person in charge scream from a table to us. That it was closed (a lady with red curly hair) i  didnt said anything to her and when to the computer because people was ordering, when she came to us; she said again it was closed, i told her it said outside and in the page that this store close at 11pm. She said in a rude way: if you order your food will not be prepared. And she closed the computer. I didnt said anything to that woman, because im not wasting my time and energy with  people as rude like that. Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½m  writing this review because this is the closer store to my house, and is really sad that a company as your have this unprofessional & rude employees and is not the first time i have a bad cx service experience in this store, but today was to far. I dont think this are the values or your company, but, this is what your ",1 star,1,Negative,Negative,anger,i came today at this store at pm and the person in charge scream from a table to us that it was closed a lady with red curly hair i didnt said anything to her and when to the computer because people was ordering when she came to us she said again it was closed i told her it said outside and in the page that this store close at pm she said in a rude way if you order your food will not be prepared and she closed the computer i didnt said anything to that woman because im not wasting my time and energy with people as rude like that im writing this review because this is the closer store to my house and is really sad that a company as your have this unprofessional rude employees and is not the first time i have a bad cx service experience in this store but today was to far i dont think this are the values or your company but this is what your,i came today at thi store at pm and the person in charg scream from a tabl to us that it wa close a ladi with red curli hair i didnt said anyth to her and when to the comput becaus peopl wa order when she came to us she said again it wa close i told her it said outsid and in the page that thi store close at pm she said in a rude way if you order your food will not be prepar and she close the comput i didnt said anyth to that woman becaus im not wast my time and energi with peopl as rude like that im write thi review becaus thi is the closer store to my hous and is realli sad that a compani as your have thi unprofession rude employe and is not the first time i have a bad cx servic experi in thi store but today wa to far i dont think thi are the valu or your compani but thi is what your
2002,McDonald's,Fast food restaurant,"72-69 Kissena Blvd, Queens, NY 11367, United States",40.7274006,-73.8124604,"2,193",a year ago,"I ordered big mac and ice coffee for my lunch , I had 30 min break so I ordered in advance, mobile order, i went there and I see my order on the screen , 15 min later my order is gone from screen no one khew about my order I spend my 30 lunch break waiting they give me a new bbidgmac n ice coffee different what I order !!!! Horrible",1 star,1,Negative,Negative,fear,i ordered big mac and ice coffee for my lunch i had min break so i ordered in advance mobile order i went there and i see my order on the screen min later my order is gone from screen no one khew about my order i spend my lunch break waiting they give me a new bbidgmac n ice coffee different what i order horrible,i order big mac and ice coffe for my lunch i had min break so i order in advanc mobil order i went there and i see my order on the screen min later my order is gone from screen no one khew about my order i spend my lunch break wait they give me a new bbidgmac n ice coffe differ what i order horribl
27429,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,999,4 years ago,"Food was good. Everything was right, but they never have any of the toys offered on the mconalds preorder app exept for what they call inisex, which is really just for boys, and were very short with me and rude when i asked for a proper toy for my little 2 yr old daughter. She is obviously not into a avengers.",2 stars,2,Negative,Negative,neutral,food was good everything was right but they never have any of the toys offered on the mconalds preorder app exept for what they call inisex which is really just for boys and were very short with me and rude when i asked for a proper toy for my little yr old daughter she is obviously not into a avengers,food wa good everyth wa right but they never have ani of the toy offer on the mconald preorder app exept for what they call inisex which is realli just for boy and were veri short with me and rude when i ask for a proper toy for my littl yr old daughter she is obvious not into a aveng
4450,McDonald's,Fast food restaurant,"724 Broadway, New York, NY 10003, United States",40.7291264,-73.9932643,"1,670",4 years ago,I like to order here whenever I want to add more layer of flab,4 stars,4,Positive,Negative,neutral,i like to order here whenever i want to add more layer of flab,i like to order here whenev i want to add more layer of flab
19014,McDonald's,Fast food restaurant,"1100 N US Hwy 377, Roanoke, TX 76262, United States",33.0093179,-97.2229254,998,a year ago,Good ,4 stars,4,Positive,Positive,neutral,good,good
30060,McDonald's,Fast food restaurant,"9814 International Dr, Orlando, FL 32819, United States",28.4238144,-81.4612421,"5,468",5 years ago,"We had breakfast this morning and was greeted by a manager in a suit who helped us place our order on the kiosk. Our hot fresh food was brought to our table by a friendly associate. While we ate I couldnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t help but notice a manager holding doors for customers and assisting where needed, even window washing. A male associate asked if he could take our tray when we were finished. The staff is impressive and the remodel looks refreshing",5 stars,5,Positive,Positive,joy,we had breakfast this morning and was greeted by a manager in a suit who helped us place our order on the kiosk our hot fresh food was brought to our table by a friendly associate while we ate i couldnt help but notice a manager holding doors for customers and assisting where needed even window washing a male associate asked if he could take our tray when we were finished the staff is impressive and the remodel looks refreshing,we had breakfast thi morn and wa greet by a manag in a suit who help us place our order on the kiosk our hot fresh food wa brought to our tabl by a friendli associ while we ate i couldnt help but notic a manag hold door for custom and assist where need even window wash a male associ ask if he could take our tray when we were finish the staff is impress and the remodel look refresh
19790,McDonald's,Fast food restaurant,"621 Broadway, Newark, NJ 07104, United States",40.7719101,-74.1614754,"1,564",6 years ago,"They take too long, some employees are not very friendly, in terms of cleaning it is very good.",3 stars,3,Neutral,Negative,neutral,they take too long some employees are not very friendly in terms of cleaning it is very good,they take too long some employe are not veri friendli in term of clean it is veri good
1378,McDonald's,Fast food restaurant,"1698 US-209, Brodheadsville, PA 18322, United States",40.9220806,-75.3999187,"1,028",3 years ago,Neutral,3 stars,3,Neutral,Negative,disgust,neutral,neutral
